City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
2,puerto ayora,EC,80.6,scattered clouds,-0.7393,-90.3518,Castillo Galapagos
5,vaini,TO,82.4,light rain,-21.2,-175.2,Keleti Beach Resort
17,caravelas,BR,75.31,scattered clouds,-17.7125,-39.2481,Pousada dos Navegantes
21,jizan,SA,75.2,clear sky,17.3333,42.6667,شهدان. ابوالحجر
23,port blair,IN,75.31,scattered clouds,11.6667,92.75,Welcomhotel Bay Island Port Blair
25,atuona,PF,77.99,light rain,-9.8,-139.0333,Villa Enata
27,nova olinda do norte,BR,78.75,heavy intensity rain,-3.8881,-59.0942,Casa Juazeiro
36,rikitea,PF,79.21,clear sky,-23.1203,-134.9692,Pension Maro'i
37,kapaa,US,75.2,light rain,22.0752,-159.319,Sheraton Kauai Resort at Coconut Beach
38,sibolga,ID,77.29,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
44,arraial do cabo,BR,80.6,clear sky,-22.9661,-42.0278,Pousada Porto Praia
49,saint-joseph,RE,78.8,light rain,-21.3667,55.6167,"""Plantation Bed and Breakfast"
57,karratha,AU,82.76,clear sky,-20.7377,116.8463,ibis Styles Karratha
58,los chiles,CR,80.01,broken clouds,11.0333,-84.7167,Cabinas y Apartamentos Felicia
61,bengkulu,ID,76.21,light rain,-3.8004,102.2655,Grage Hotel Bengkulu
64,noumea,NC,81.0,overcast clouds,-22.2763,166.4572,Hôtel Le Lagon
68,hithadhoo,MV,81.16,light rain,-0.6,73.0833,Scoop Guest House
72,tautira,PF,86.0,broken clouds,-17.7333,-149.15,Pension Oaoa
73,avarua,CK,86.0,broken clouds,-21.2078,-159.775,Paradise Inn
80,souillac,MU,77.0,scattered clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
83,mar del plata,AR,78.8,clear sky,-38.0023,-57.5575,Gran Hotel Mar del Plata
85,codrington,AU,80.67,overcast clouds,-38.2667,141.9667,Codrington Gardens Bed And Breakfast
86,toamasina,MG,77.0,scattered clouds,-18.1667,49.3833,Hotel H1
88,labuhan,ID,78.19,light rain,-6.8844,112.2051,PT PPI Lamongan Tambak C
94,matamoros,MX,84.2,broken clouds,25.5333,-103.25,Quinta Belem
95,shimoni,KE,77.25,overcast clouds,-4.6476,39.3817,Shimoni Reef Lodge
96,kahului,US,78.8,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
99,cayenne,GF,77.0,moderate rain,4.9333,-52.3333,Hôtel Le Dronmi
105,kavieng,PG,83.93,light rain,-2.5744,150.7967,Nusa Island Retreat
106,iralaya,HN,78.62,few clouds,15.0,-83.2333,Iglesia morava renovada
111,hilo,US,80.6,light rain,19.7297,-155.09,Hilo Hawaiian Hotel
112,san cristobal,VE,84.2,scattered clouds,7.7669,-72.225,Pirineos
114,miri,MY,77.0,few clouds,4.4148,114.0089,"Mega Hotel, Miri"
115,rafaela,AR,89.01,scattered clouds,-31.2503,-61.4867,Parra Hotel & Suites
117,butaritari,KI,79.81,broken clouds,3.0707,172.7902,Isles Sunset Lodge
124,santa maria,BR,86.0,few clouds,-29.6842,-53.8069,Hotel Morotin
146,grand gaube,MU,79.0,light rain,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
149,port hedland,AU,82.4,clear sky,-20.3167,118.5667,The Esplanade Hotel
152,vao,NC,75.85,overcast clouds,-22.6667,167.4833,Hotel Kou-Bugny
157,tabou,CI,78.13,clear sky,4.423,-7.3528,hotêl doufoulougou
159,georgetown,MY,77.0,few clouds,5.4112,100.3354,Cititel Penang
167,ouesso,CG,75.06,overcast clouds,1.6136,16.0517,Hôtel ABENI
170,alofi,NU,86.0,moderate rain,-19.0595,-169.9187,Taloa Heights
176,vila velha,BR,80.6,light rain,-20.3297,-40.2925,Hotel Vitória Palace
177,takaungu,KE,76.57,broken clouds,-3.6837,39.8566,Takaungu House
178,sechura,PE,77.81,clear sky,-5.5569,-80.8222,Hospedaje Costa Bella
181,iracoubo,GF,77.63,overcast clouds,5.4802,-53.2011,Le Gite D Iracoubo
186,sinnamary,GF,77.61,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
188,sao borja,BR,85.66,light rain,-28.6606,-56.0044,Hotel Executivo
192,petatlan,MX,84.2,broken clouds,17.5167,-101.2667,Hotel California Petatlán
197,sainte-marie,RE,75.2,light rain,-20.8968,55.5496,Les pailles en queue de Sainte Marie
200,itarema,BR,78.93,broken clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
201,dhidhdhoo,MV,81.43,few clouds,6.8833,73.1,Dhidhoo beach
204,bambous virieux,MU,79.0,scattered clouds,-20.3428,57.7575,Casa Tia Villa
213,oyotun,PE,78.8,moderate rain,-6.8519,-79.3036,Cerro La Compuerta
214,saint-philippe,RE,78.8,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
215,antalaha,MG,75.61,moderate rain,-14.9003,50.2788,Hotel Vitasoa
232,corowa,AU,81.0,scattered clouds,-36.0333,146.3833,Statesman Motor Inn
237,richards bay,ZA,79.68,clear sky,-28.783,32.0377,BON Hotel Waterfront Richards Bay
238,lorengau,PG,84.06,broken clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
247,cockburn town,TC,80.6,scattered clouds,21.4612,-71.1419,Osprey Beach Hotel
250,kollam,IN,78.8,mist,8.8833,76.6,The Raviz Ashtamudi
251,sao felix do xingu,BR,76.59,few clouds,-6.6447,-51.995,Rio Xingu Camping
256,kuala terengganu,MY,75.2,few clouds,5.3302,103.1408,Hotel Grand Continental Kuala Terengganu (4 Star)
265,piacabucu,BR,77.36,overcast clouds,-10.4056,-36.4344,Piaçabuçu News
272,touros,BR,78.8,few clouds,-5.1989,-35.4608,INN NEW HORIZON
275,amahai,ID,86.0,overcast clouds,-3.3333,128.9167,HOTEL ISABELA
279,port macquarie,AU,81.0,clear sky,-31.4333,152.9167,Rydges Port Macquarie
281,pemangkat,ID,76.35,overcast clouds,1.1667,108.9667,Kost H.Syamsuddin
284,sorong,ID,81.28,heavy intensity rain,-0.8833,131.25,The Waigo Hotel
286,banda aceh,ID,76.77,scattered clouds,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
290,rio grande,BR,78.01,overcast clouds,-32.035,-52.0986,Hotel Atlântico Rio Grande
291,bathsheba,BB,78.8,few clouds,13.2167,-59.5167,Atlantis Hotel
293,necochea,AR,76.59,clear sky,-38.5473,-58.7368,dyd -mar Hotel
294,ballina,AU,75.2,scattered clouds,-28.8667,153.5667,Ramada Hotel & Suites by Wyndham Ballina Byron
299,mahebourg,MU,77.0,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
300,vaitape,PF,81.32,clear sky,-16.5167,-151.75,Conrad Bora Bora Nui
301,pisco,PE,77.0,clear sky,-13.7,-76.2167,Hotel San Isidro Oficial
303,cidreira,BR,76.32,clear sky,-30.1811,-50.2056,Hotel Castelo
305,kirakira,SB,83.93,overcast clouds,-10.4544,161.9205,SanBiz Lodge
310,manadhoo,MV,82.04,overcast clouds,5.7667,73.3833,Vevu Guesthouse
313,isangel,VU,86.0,broken clouds,-19.55,169.2667,Volcano Sea View Tree House
325,eirunepe,BR,75.69,moderate rain,-6.6603,-69.8736,Atrás de você
326,faanui,PF,81.34,clear sky,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
328,san policarpo,PH,77.99,broken clouds,12.1791,125.5072,JM Lodge
330,roebourne,AU,84.18,clear sky,-20.7833,117.1333,Harding River Caravan Park
331,kavaratti,IN,80.74,broken clouds,10.5669,72.642,Hotels in Lakshadweep Islands
341,sibu,MY,75.2,scattered clouds,2.3,111.8167,RH HOTEL (4 Star)
348,san andres,CO,82.4,scattered clouds,12.5847,-81.7006,Hotel Arena Blanca
352,nobres,BR,78.28,light rain,-14.7203,-56.3275,Eloáh Agência de Turismo
354,ternate,ID,79.61,light rain,0.8,127.4,Grand Dafam Bela Ternate
355,moree,AU,75.2,clear sky,-29.4667,149.85,Molika Springs Motel
357,batticaloa,LK,75.6,clear sky,7.7102,81.6924,Grand Star Guest House
360,mareeba,AU,84.0,scattered clouds,-17.0,145.4333,Trinity Plains Tourist Park
363,dingle,PH,75.88,light rain,10.9995,122.6711,SEGAYA PROPERTY
369,sao jose da coroa grande,BR,77.99,broken clouds,-8.8978,-35.1478,Crôa Mares Hotel
370,pitimbu,BR,78.8,few clouds,-7.4706,-34.8086,Reserva do Abiaí
375,cozumel,MX,81.0,scattered clouds,20.5083,-86.9458,Cozumel Palace® All Inclusive Resort
377,puerto carreno,CO,86.54,overcast clouds,6.189,-67.4859,Casa Hotel Victoria
380,taree,AU,79.0,clear sky,-31.9,152.4667,All Seasons Country Lodge Taree
390,ambon,ID,78.8,light rain,-3.6954,128.1814,Swiss-Belhotel Ambon
394,male,MV,82.4,few clouds,4.1748,73.5089,Hotel Octave Maldives
400,inhambane,MZ,80.24,moderate rain,-23.865,35.3833,Oceano
406,tecoanapa,MX,81.79,overcast clouds,16.5167,-98.75,Hotel Manglares
407,gold coast,AU,81.0,light rain,-28.0,153.4333,Mantra Towers of Chevron Surfers Paradise
417,quatre cocos,MU,79.0,scattered clouds,-20.2078,57.7625,Emeraude Beach Attitude Hotel
418,mildura,AU,89.01,overcast clouds,-34.2,142.15,Mercure Hotel Mildura
435,pedasi,PA,80.69,broken clouds,7.5333,-80.0333,Selina Pedasi
441,buala,SB,84.36,overcast clouds,-8.145,159.5921,Maringe Lagoon Lodge
445,daru,PG,79.77,overcast clouds,-9.0763,143.2092,Daru Lodge
449,iaciara,BR,75.47,broken clouds,-14.0958,-46.6317,Hotel Matinha
451,auki,SB,84.34,broken clouds,-8.7676,160.7034,Auki Motel
453,wajir,KE,79.09,scattered clouds,1.7471,40.0573,Al-bustan Hotel And Restaurant.
454,natal,BR,80.6,few clouds,-5.795,-35.2094,Villa Park Hotel | Natal
459,upata,VE,80.01,broken clouds,8.0086,-62.3989,Posada Villa Nela
462,iacu,BR,75.7,heavy intensity rain,-12.7672,-40.2117,Pousada e Restaurante Portal da Chapada
464,kapoeta,SS,80.26,scattered clouds,4.7717,33.5903,Eastgate Hotel
465,sulangan,PH,80.8,scattered clouds,11.1373,123.7228,Maia's Beach Resort
470,phra phutthabat,TH,75.0,clear sky,14.7253,100.7954,Pruksa Siri View
475,aquiraz,BR,82.4,scattered clouds,-3.9014,-38.3911,Pousada Rua Camurupim
476,jacqueville,CI,78.8,few clouds,5.2052,-4.4146,Hotel Le Martin Pecheur
485,bodden town,KY,82.4,few clouds,19.2833,-81.25,Will T Place
488,ibipora,BR,82.4,scattered clouds,-23.2692,-51.0481,Royal Boulevard
490,thabazimbi,ZA,75.0,overcast clouds,-24.5917,27.4116,eagels rest
492,tefe,BR,82.4,scattered clouds,-3.3542,-64.7114,Aracati Hotel
495,diamantino,BR,77.52,broken clouds,-14.4086,-56.4461,Hotel Delta
503,nacala,MZ,79.27,overcast clouds,-14.5428,40.6728,Nacala Plaza Business Design Hotel
512,inirida,CO,76.62,overcast clouds,3.8653,-67.9239,Fuente del Guania Hotel de Lujo
513,paraiso,CR,82.4,few clouds,9.8383,-83.8656,Rinconcito Verde
517,fare,PF,81.07,clear sky,-16.7,-151.0167,Maitai Lapita Village Huahine
522,boyolangu,ID,76.24,overcast clouds,-8.1181,111.8935,Yos ega cv
527,santa marta,CO,84.0,broken clouds,11.2408,-74.199,Hotel La Ballena Azul
529,sungairaya,ID,76.75,light rain,0.7,108.9,Mess P.Milu
530,anapolis,BR,77.0,scattered clouds,-16.3267,-48.9528,Hotel Anápolis
534,ewa beach,US,80.6,few clouds,21.3156,-158.0072,Base Lodging
535,sokoni,TZ,80.96,overcast clouds,-6.4333,39.55,Ujamaa Beach Resort
538,ixtapa,MX,75.2,clear sky,20.7,-105.2,Container Inn Puerto Vallarta
542,pietermaritzburg,ZA,78.01,clear sky,-29.6168,30.3928,Redlands Hotel
543,denpasar,ID,77.0,few clouds,-8.65,115.2167,ASTON Denpasar Hotel & Convention Center
550,kismayo,SO,77.52,clear sky,-0.3582,42.5454,Agan-Hotel
554,loandjili,CG,76.53,overcast clouds,-4.7561,11.8578,Résidence ARCHANGE
560,panama city,PA,86.0,scattered clouds,8.9936,-79.5197,Trump International Hotel & Tower Panama
568,sola,VU,82.4,overcast clouds,-13.8833,167.55,Leumerus Bungalows
579,welahan,ID,78.8,heavy intensity rain,-6.8,110.7167,Pp. Tahfidz Manzilul Qur'an
588,vanimo,PG,82.69,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
590,omboue,GA,77.52,overcast clouds,-1.5746,9.2618,Hotel Olako
594,belmonte,BR,78.8,scattered clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
598,karaton,ID,80.01,overcast clouds,-6.3424,106.1045,Parkir Mobil Wisata CAS Water Park
599,atambua,ID,77.16,moderate rain,-9.1061,124.8925,Pastori 1 Jemaat Polycarpus
602,flinders,AU,80.01,clear sky,-34.5833,150.8552,Shellharbour Resort & Conference Centre
604,dubbo,AU,86.0,clear sky,-32.25,148.6167,Comfort Inn Blue Lagoon
608,aracati,BR,80.76,scattered clouds,-4.5617,-37.7697,Motel Pousada Milleniun - Aracati-CE
610,kloulklubed,PW,82.99,light rain,7.0419,134.2556,Storyboard Beach Resort
612,bonthe,SL,77.59,clear sky,7.5264,-12.505,Bonthe Holiday Village
619,kuching,MY,77.0,scattered clouds,1.55,110.3333,Hilton Kuching
630,kandrian,PG,84.4,overcast clouds,-6.2167,149.55,Kandrian Station
635,maputo,MZ,81.0,broken clouds,-25.9653,32.5892,Pestana Rovuma
640,acari,PE,75.36,few clouds,-15.4311,-74.6158,HOSPEDAJE XIMENA
642,aborlan,PH,75.2,light rain,9.4352,118.5492,Kevina Transient House
646,punta alta,AR,89.44,clear sky,-38.8759,-62.0736,Center Hotel Punta Alta
649,takoradi,GH,79.0,scattered clouds,4.8845,-1.7554,Raybow International Hotel
651,bambanglipuro,ID,77.14,light rain,-7.95,110.2833,Puri Brata
654,porto belo,BR,78.01,broken clouds,-27.1578,-48.5531,Costa Verde Beach Hotel
658,puerto ayacucho,VE,79.54,overcast clouds,5.6639,-67.6236,Posada Turistica Manapiare
660,magdalena,PH,78.8,few clouds,14.1999,121.429,Samparada & Gestiada Residences
665,cacoal,BR,76.28,light rain,-11.4386,-61.4472,Hotel BR 364
675,morwell,AU,81.0,clear sky,-38.2333,146.4,Morwell Motel
681,kailua,US,80.6,overcast clouds,21.4022,-157.7394,Sheffield House Bed & Breakfast
685,angoche,MZ,79.27,overcast clouds,-16.2325,39.9086,Guest House HESADA
691,manicore,BR,79.66,scattered clouds,-5.8092,-61.3003,Hotel Durval
693,poum,NC,81.05,overcast clouds,-20.2333,164.0167,Gîte kajeon
698,mogadishu,SO,75.85,broken clouds,2.0371,45.3438,Hotel Juba
